;x
jefferson_method_desc;Метод Джефферсона - это метод с наивысшим средним значением для распределения мест и, таким образом, тип пропорционального представительства по партийным спискам. Системы пропорционального представительства направлены на распределение мест между партиями примерно пропорционально количеству полученных голосов. Например, если партия набирает одну треть голосов, она должна получить примерно одну треть мест. В общем, точная пропорциональность невозможна, потому что эти деления дают дробное количество мест. В результате было разработано несколько методов, гарантирующих максимально пропорциональное распределение мест между партиями, которое, конечно же, является целым числом. По сравнению с методом Сент-Лага §Yметод Джефферсона несколько отдает предпочтение крупным партиям и коалициям, а не разрозненным небольшим партиям§W.;x
precious_goods;Драгоценные товары;x
precious_goods_RGO_SIZE;Объем рынка драгоценных камней;x
PARTY_LOYALTY_EFFECT_DESC;Лояльность к §Y$PARTY$§W в §Y$PROV$§W изменится на §Y$VALUE$§W.\n;x
MODIFY_RELATION_EFFECT;Связь §Y$SOURCE$? с §Y$TARGET$? изменено на значение $VALUE$.\n;
IS_NOT_ACCEPTED_CULTURE;НЕ является принятой культурой.;
canned_food_factory;консервный завод;x
ALL_CORE_PROVINCE_THAT;Для всех основных провинций\n;x
TOPBAR_POPULATION;Наше взрослое мужское население составляет $CURR$. Наше взрослое мужское население изменилось на $CHANGE$ за последние §Y$DAYS$? дней.;x
precious_metal;Драгоценные металлы;x
precious_metal_RGO_SIZE;Размер шахты драгоценных металлов;x
POLITICS_SUPPORT_REFORM;$IDEOLOGY$: $POSITIVE$% голосов за, $NEGATIVE$% голосов против ($PERCENT$% Верхней палаты)\n;x
POLITICS_IN_FAVOR_TOOLTIP;($PERCENT$% членов Верхней палаты выступают за реформы);x
POLITICS_UPPERHOUSE_CHART_TOOLTIP;$PERCENT$% членов Верхней палаты составляют $IDEOLOGY$\n;x
HAVE_INDUSTRIAL_SCORE_LESS_THAN;Иметь меньше промышленных баллов, чем:;x
CHANGE_GOODS;Измените торговые товары в §Y$PROV$§W на §Y$GOOD$§W.\n;x
HAVE_LESS_TOTAL_PORTS_THAN;Имеют равные или меньшие порты, чем:;x
HAVE_MORE_TOTAL_PORTS_THAN;Иметь равные или более порты, чем:;x
TOTAL_AMOUNT_OF_SHIPS;Общее количество кораблей: §Y$COUNT$§W \n;x
LESS_AMOUNT_OF_SHIPS;Меньше количества кораблей, чем: §Y$COUNT$§W \n;x
ibadi;Ибади;x
HAS_RECENTLY_LOST_WAR;Проиграли войну за последние пять лет.;x
NOT_IN_ELECTION_CAMPAIGN;НЕ участвует в предвыборной кампании.;x
PEACE_WE_DECLINE_2;Мы отклонили мирное предложение от;x
PEACE_WE_ACCEPT_2;Мы приняли мирное предложение от;x
CALCULATED_WARSCORE;Стоимость мирного предложения: $VAL$;x
CRISIS_BACK_DOWN_WE_DECLINE_2;Мы отклонили мирное предложение от;x
HAVE_LESS_VASSALS_THAN;Иметь меньше вассалов, чем;x
BUDGET_ADMIN_EFFICIENCY_DESC2;Наша §Yадминистративная эффективность страны§W определяет эффективность социальных реформ и тарифов. Наши общие расходы также увеличивают способность бороться с организованной преступностью.;x
ADM_DESC;Расходы на администрирование позволяют вашим бюрократам управлять и поддерживать здоровую бюрократию, повышая эффективность наших тарифов и скорость продвижения населения.;x
NO_POPS_OF_TYPE;Попов такого типа в нашей стране нет.;x
NAT_STOCK_DESC;Затраты на торговлю для пополнения нашего национального запаса. Включает расходы на строительство, военно-морские поставки, снабжение сухопутных войск и техническое обслуживание за границей.;x
IND_SUP_DESC;Расходы на государственное субсидирование заводов. Национальные денежные резервы будут использоваться для помощи фабрикам в закупке необходимых товаров и выплате заработной платы рабочим.;x
DIST_DEFENCE;Военные расходы;x
DEFENCE_DESC;Военные расходы идут на оплату ваших солдат и офицеров.;x
SOCIAL_DESC2;Бюджет социальных расходов идет на финансирование проводимых вами социальных реформ. Сумма распределяемых денег зависит от §Yадминистративной эффективности вашей страны§W.;x
TAX_MIDDLE_DESC;Это определяет, какая часть доходов средних слоев будет собираться в виде налогов. Слишком высокие налоги оставят им меньше денег, чтобы тратить их на собственные нужды или бизнес.;x
TARIFFS_DESC;Тарифы налагают дополнительные расходы на импортные товары, а выручка идет в национальную казну. Отрицательные тарифы могут использоваться для субсидирования импорта для всех в вашей стране.;x
precious_metal_desc;Золото, серебро, бриллианты, жемчуг и другие драгоценности не продаются как обычные товары, а напрямую конвертируются в деньги.;x
GOLD;Драгоценные товары;x
BUDGET_GOLD_INCOME_DESC;Доход от ценных вещей.;x
BUDGET_GOLD;Драгоценные товары: §Y$VAL$§W;x
EDU_DESC;Бюджет образования используется для оплаты интеллектуалов и влияния на грамотность.;x
MIL_COST_DESC;Затраты на снабжение ваших вооруженных сил, армии и флота, не включая затраты на строительство, зарплату или содержание провинций за границей.;x
STOCKPILE_COST_ESTIMATED;Национальный запас состоит из расходов на армию, флот, бюджет на строительство и содержание заморских провинций.\nМы §Подтверждаем? завтрашние складские закупки будут стоить:;xв за последний день:;x
BUDGET_CONSUMED_MILITARY;Ориентировочная стоимость потребления товаров военного назначения за последние сутки:;x
BUDGET_DIPL_DESC;Затраты или прибыль, понесенные в результате дипломатических или мирных сделок в результате выплаченных или полученных репараций.;x
congo_master;Конго Повелитель;x
DOMINION_OF_NOCOLOR;Доминион;x
SATELLITE_OF_NOCOLOR;Спутник;x
SUBSTATE_OF_NOCOLOR;Подсостояние;x
HAVE_MORE_NATIONAL_PROVINCES_OCCUPIED_THAN;Процент оккупированных национальных провинций превышает:;x
HAVE_LESS_NATIONAL_PROVINCES_OCCUPIED_THAN;Процент оккупированных национальных провинций составляет менее:;x
yes_to_congo;Проголосовали за вопрос о Конго;x
NEED_POSITIVE_WARSCORE;Война идет недостаточно хорошо. §В войнах, в которых вы не являетесь военачальником, вклад рассчитывается индивидуально. Несмотря на то, что общий военный счет может быть положительным, то, что позволяет вам добавлять или не добавлять военные цели, — это ваш индивидуальный военный счет — ваш личный вклад — в этой войне.§W;x
WARGOAL_LACK_JINGO;Мы требуем $REQUIRED$ поддержки ура-патриотизма в нашей стране, но имеем только $VALUE$. Джингоизм представляет желание правителя или верхней палаты продлить войну. Чем выше ура-патриотизм, тем больше шансов, что у необходимых акторов будет воля и/или поддержка для продления войны.;x ;
berlin_conference;Берлинская конференция;x
enforce_conference_decision;Обеспечьте обсуждение;x
enforce_conference_decision_desc;Заставить §Yстрану§W согласиться с решением §Yвеликих держав§W.;x
enforce_conference_decision_short;Придерживайтесь решения §YВеликих держав§W.;x
enforce_conference_decision_setup;Заставить §Yстрану§W согласиться с решением §Yвеликих держав§W.;x
yes_to_congo;Проголосовал за Свободное государство Конго.;x
no_to_congo;Голосует против Свободного государства Конго.;x
abstained_to_congo;Воздержаться от голосования.;x
admin_spen;Расходы на администрирование ИИ;x
educational_spen;Расходы на образование ИИ;x
has_siege;Осада;x
debt_default_to;Долг по умолчанию;x
democracy;Республика;x
MAPMODE_3;Режим карты «Риск восстания»;x
MAPMODE_11;Выходной режим карты RGO;x
MAPMODE_12;Режим карты плотности населения;x
MAPMODE_13;Режим карты культуры;x
MAPMODE_14;Сфера влияния Режим карты;x
MAPMODE_15;Режим карты предела снабжения;x
MAPMODE_16;Режим карты лояльности к партии;x
MAPMODE_17;Режим карты рейтинга;x
MAPMODE_18;Режим карты миграции;x
MAPMODE_20;Режим карты отношений;x
MAPMODE_21;Режим карты кризисов;x
MAPMODE_22;Морской режим карты;x
PV_POP_NATIONALITY;Культура;x
POPV_SORT_BY_RR;Повстанческая фракция;x
NATIONALITY_DISTTITLE;Культура;x
TERM_FOR_LIFE;Нет выборов в этой форме правления.;x
HAVE_LESS_BADBOY_THAN;Иметь меньше позора, чем;x
HAVE_AT_LEAST_ONE_OWNED_NEIGHBORING_PROVINCE;Иметь хотя бы одну соседнюю провинцию в собственности, такую, что:;x
DONT_HAVE_THE_PROVINCE_MODIFIER;НЕ иметь модификатора провинции;x
HAS_NO_NATIONAL_MINORITY;Имеет меньшинства;x
HAS_NOT_NATIONAL_MINORITY;Имеет меньшинства;x
HAS_NATIONAL_MINORITY;Имеет меньшинства;x
beifaren;Северная Хань;x
nanfaren;Южный Хан;x
control_1;Устаревшая поршневая паровая машина;x
control_1_desc;Устаревание — это состояние бытия, которое возникает, когда объект, услуга или практика больше не нужны, даже если они все еще находятся в хорошем рабочем состоянии. Получается, что поршневые паровые машины изрядно устарели и утратили часть своих преимуществ.;x
control_2;Устаревшая паровая машина высокого давления;x
control_2_desc;Устаревание — это состояние бытия, которое возникает, когда объект, услуга или практика больше не нужны, даже если они все еще находятся в хорошем рабочем состоянии. Получается, что паровые машины высокого давления изрядно устарели и утратили часть своих преимуществ.;x
control_3;Устаревшая составная паровая машина;x
control_3_desc;Устаревание — это состояние бытия, которое возникает, когда объект, услуга или практика больше не нужны, даже если они все еще находятся в хорошем рабочем состоянии. Получается, что составные паровые машины сильно устарели и потеряли часть своих преимуществ.;x
control_4;Устаревшие паровые турбины;x
control_4_desc;Устаревание — это состояние бытия, которое возникает, когда объект, услуга или практика больше не нужны, даже если они все еще находятся в хорошем рабочем состоянии. Получается, что паровые турбины изрядно устарели и утратили часть своих преимуществ.;x
acceptable_subsidies_l;Расширенные субсидии;x
MONEY_IS_ATLEAST_TRIGGER;Сумма денег не менее §Y$VALUE$§W?\n;x
EFFECT_BUILD_IN_CAPITAL_DESC;§Y$BLD$? строительство будет происходить в: §Y$PROVS$?\n;x
ADD_WARGOAL_PRESTIGE;Если мы достигнем этой цели войны, мы получим $COST$ §Yпрестиж§W;x
ADD_WARGOAL_MILITANCY;Если нам не удастся достичь этой цели войны, все наше население получит $ВОИНСТВЕННОСТЬ$ §YВоинственность§W;x
ADD_WARGOAL_EFFECT;Когда мы добавим эту военную цель, мы получим:;x
ADD_WARGOAL_SUCCESS;Если мы достигнем этой цели войны, мы получим:;x
ADD_WARGOAL_FAILURE;Если нам не удастся достичь этой цели войны, мы получим:;x
BUY_FROM_STOCKPILE_DESC;Разрешить населению/фабрикам покупать из запасов страны.\n\n§YПРИМЕЧАНИЕ: §RНИКОГДА§W не используйте эту кнопку, пока вы все еще покупаете или продаете вручную. §RONLY§W используйте его с автоматической торговлей §GON§W для товаров §RALL§W.§W §R Невыполнение этого требования приведет к краху экономики как на местном, так и на глобальном уровне. Используйте его на свой страх и риск.§W;x
military_political_decision_making;Принятие военно-политических решений;x
army_military_political_decision_making;Принятие военно-политических решений;x
army_military_political_decision_making_desc;В военное время влиятельная армия, которая долгое время лоббировала свое дело, могла получить полный контроль не только над ведением войны, но и над управлением ресурсами страны. По сути, это можно назвать военной диктатурой, управляемой Генеральным штабом.;x
COALITION_WIN;Коалиция §Y$IDE$§W получила $VAL$% мест и сформирует основу правительства.;x
RULE_PRIMARY_CULTURE_VOTING;\nОсновная культура может голосовать;x
RULE_CULTURE_VOTING;\nПринятые культуры могут голосовать;x
RULE_ALL_VOTING;\nВсе культуры могут голосовать;x
lacking_writing_system;Не хватает системы письма;x
clay_and_douglas_draft_enacted;Клэй и Дуглас подписали проект;x
wilmot_proviso_providing;Уилмот оговорка подписана;x
MODIFIER_CB_GENERATION_SPEED_MODIFIER;Casus Belli Скорость приобретения;x
MODIFIER_MOBILIZATION_IMPACT;Мобилизационное воздействие;x
GREAT_WARS_ENABLED_DESC;Обнаружены великие войны.\n;x
GREAT_WARS_DISABLED_DESC;Великие войны еще не открыты.\n;x
HAVE_NOT_A_PORT_IN;НЕ иметь порта в;x
IN_SOCIAL_MOVEMENT;в общественном движении\n;x
NOT_IN_SOCIAL_MOVEMENT;не в общественном движении\n;x
IN_POLITICAL_MOVEMENT;в политическом движении\n;x
NOT_IN_POLITICAL_MOVEMENT;не в политическом движении\n;"x	";
NEUTRALITY_EFFECT;Нация становится нейтральной, распуская все союзы и освобождая всех спутников.;x
INFLUENCE_CHANGE;Влияние §Y$ACTIVE$§W на §Y$PASSIVE$§W изменяется на $MUCH$.\n;x
THE_CAPITAL_IS_NOT;Столица не;
ENDGAME_DESC;Прошло сто знаменательных лет, и мы вступили в современную эпоху. Мир радикально изменился, как дела в вашей стране?;
DIPLOMACY_FILTER_NORTH_AMERICA;Аркадия;x
DIPLOMACY_FILTER_OCEANIA;Ближний Восток;x
DIPLOMACY_FILTER_OCEANIA_TOOLTIP;Список §YБлижневосточных§W стран;x
north_america;Аркадия;x
oceania;Ближний Восток;x
siberian;Сибирский минор;x
tanzimat_reforms_enacted;Приняты реформы Танзимата;x
indo_iranian;индоиранский;x
yazidi;езиды;x
yazidi_group;Группа езидов;x
islamic_law;Исламский закон;x
EFFECT_CRISIS_INTEREST;$COUNTRY$ заявляет об интересе к текущему кризису\n;x
NORMAL_WAR_NAME_FASCISM;$ORDER$$FIRST$-$SECOND$ Blackshirt Revolution;x
AGRESSION_WAR_NAME_FASCISM;$ORDER$$FIRST$-$SECOND$ Blackshirt Revolution;x
NORMAL_WAR_NAME_COMMUNISM;$ORDER$$ПЕРВАЯ$-$ВТОРАЯ$ Война за независимость;x
AGRESSION_WAR_NAME_COMMUNISM;$ORDER$$ПЕРВАЯ$-$ВТОРАЯ$ Война за независимость;x
NORMAL_WAR_NAME_DEMOCRACY;$ПОРЯДОК$$ПЕРВАЯ$-$ВТОРАЯ$ Контрреволюция;x
AGRESSION_WAR_NAME_DEMOCRACY;$ПОРЯДОК$$ПЕРВАЯ$-$ВТОРАЯ$ Контрреволюция;x
ELECTIONSTART_1;Выборы в $COUNTRY$ начинаются;x
sepoy_rebellion;Восстание сипаев;x
IS_SUBSTATE_OF;Является подсостоянием;x
IS_NOT_SUBSTATE_OF;НЕ является подсостоянием;x
public_illumination;Общественное освещение;x
IS_NOT_IN_A_SPHERE;Не в сфере влияния.;x
HOLD_ELECTION_BUTTON;Провести выборы;x
HOLD_ELECTION;Провести выборы\n;x
NATIONALIZE_INDUSTRY_EFFECT;Выполнить национализацию\n;x
2nd_caucasian_war;Вторая Кавказская война;x
RELEASE;Освободить §Y$WHO$§W как независимое государство.\n;x
modern_central_bank_system_invented;Изобретена современная центральная банковская система;x
PEACE_WE_ACCEPT_2;Мы приняли мирное предложение от;x
administrative_efficiency_modifier;Административная эффективность;x
MODIFIER_ADMINISTRATIVE_EFFICIENCY;Административная эффективность;x
in_great_war;В Великой войне;x
fascist_rebels_title;фашист;x
fascist_rebels_name;$COUNTRY$ фашисты;x
fascist_rebels_desc;Военизированные организации Черной гвардии — это революционеры, движимые радикально новой идеологией фашизма. Работая в условиях догм насилия и массовых действий, эти натренированные в боях революционеры не остановятся ни перед чем, чтобы свергнуть как старые монархии, так и молодые демократии, и заменить их всеми абсолютами фашистского государства Левиафана.;x
fascist_rebels_army;$COUNTRY_ADJ$ Военизированные;x
dagestani;Даргин;x
circassian;черкесский;x
chechen;чеченский;x
north_caucasian;адыгэ;x
caucasian;кавказец;x
botanical_expedition_threatened;Ботаническая экспедиция под угрозой;x
participates_in_botanical_expedition;Участвует в ботанической экспедиции.;x
ANY_POP_IN_PROVINCE_STARTS;Любая поп-музыка;x
IS_RELIGION;Государственная религия это;x
house_of_rashid_exiled;Дом Рашида в изгнании;x
house_of_saud_returned;Дом Сауда вернулся;x
house_of_saud_exiled;Дом Сауда в изгнании;x
early_electrical_telegraph;Ранний электрический телеграф;x
early_electrical_telegraph_desc;Первый коммерческий электрический телеграф был разработан совместно сэром Уильямом Фотергиллом Куком и Чарльзом Уитстоном. Это была система с пятью иглами и шестью проводами. Кабели изначально были проложены под землей в стальном кабелепроводе. Однако вскоре кабели стали выходить из строя из-за ухудшения изоляции и были заменены неизолированными проводами на опорах. В качестве временной меры была использована двухигольная система с тремя оставшимися работающими подземными проводами, которые, несмотря на использование только двух игл, имели большее количество кодов.;x
telegraph;Телеграф;x
REMOVE_MONEY_EFFECT;Потерять §R$VALUE$¤§W.\n;x
MONEY_EFFECT;Средства §R$VALUE$§W¤§W.\n;x
theocracy_ruler;Ваше Святейшество;x
proletarian_dictatorship_ruler;председатель;x
presidential_dictatorship_ruler;Президент;x
bourgeois_dictatorship_ruler;Директор Совета;x
fascist_dictatorship_ruler;Верховный лидер;x
absolute_monarchy_ruler;Король;x
prussian_constitutionalism_ruler;Король;x
hms_government_ruler;Король;x
democracy_ruler;Президент;x
islamic_fundamentalists_title;Исламские фундаменталисты;x
islamic_fundamentalists_name;Исламские фундаменталисты;x
islamic_fundamentalists_desc;Исламские фундаменталисты считают, что ислам основан на Коране, хадисах и сунне, и «критикуют традиции, комментарии, популярные религиозные практики (марабутизм, культ святых), отклонения и суеверия». Они стремятся вернуться к основополагающим текстам, избавиться от внешнего упадка, свергнуть правительство и установить фундаменталистское государство.;x
islamic_fundamentalists_army;Исламские фундаменталисты;x
theocracy;теократия;x
artillery_production_desc;Промышленная революция XIX века затронула практически все области человеческой деятельности, и артиллерийское производство не стало исключением. То, что раньше было длительным процессом литья бронзовых пушек, в руках светил индустрии, таких как Альфред Крупп или Хирам Максим, станет промышленно развитой и точной наукой.;x
australian;австралийский;x
serfdom_not_abolished;Крепостное право не отменено;x
theocratic_government;Теократическое правительство;x
communist_gov;Коммунистический режим;x
absolute_monarchy_gov;Абсолютная монархия;x
semi_constitutional_monarchy_gov;Полуконституционная монархия;x
constitutional_monarchy_gov;Конституционная монархия;x
democracy_gov;Демократия;x
presidential_dictatorship_gov;Президентская диктатура;x
fascist_gov;Фашистский режим;x
anarcho_liberal_gov;Анархо-либеральный режим;x
serfs;Крепостные;x
TRIGGER_STATE;Состояние;x
nv_autocracy;Самодержавие;x
nv_tradition;Традиция;x
nv_productivity;Производительность;x
french_claimed_the_rhine;Французские претензии на Рейн;x
CANAL_5;Пролив Дарданеллы;x
CANAL_4;пролив Босфор;x
MODIFIER_LAND_ATTACK;Атака сухопутных войск;x
MODIFIER_NAVAL_ATTACK;Атака морской части;x
MODIFIER_LAND_DEFENSE;Защита сухопутных войск;x
MODIFIER_NAVAL_DEFENSE;Защита морской части;x
PV_CLERGY_LIT_PROVIDES;Интеллектуальные провинции: $VAL$;x
PV_CLERGY_LIT_NUM;$NUM$ вашего населения — интеллектуалы (оптимально $OPT$): $VAL$;x
EDU_DESC;Образовательный бюджет используется для оплаты труда интеллектуалов и получения очков исследований.;x
PV_CLERGY_LIT_DESC1;$NUM$ вашего населения в $LOC$ — интеллектуалы.;x
POP_CON_CLERGY;интеллектуалы;x
promote_clergymen;Поощряйте интеллектуалов;x
land_attack_modifier;Модификатор атаки наземных юнитов;x
immigration_focus_desc;Мигранты на §Y$VAL$§W% чаще выбирают этот штат. Такой фокус повышает вероятность того, что иммигранты поселятся в этом штате, но не повышает вероятность того, что они выберут нашу страну.;x
emigration_focus;Поощряйте эмиграцию;x
emigration_focus_desc;Вероятность того, что население покинет этот регион, будет на §Y$VAL$§W% выше.;x
not_AI;Не ИИ;x
harassment_l;Преследуемые стороны;x
public_meetings;Публичные встречи;x
public_meetings_l;Публичные встречи;x
yes_meeting;Собрания разрешены;x
yes_meeting_desc;Разрешены публичные собрания и митинги.;x
no_meeting;Собрания запрещены;x
no_meeting_desc;Публичные собрания запрещены.;x
POLITICS_MATTERS_OF_STATE;Государственные дела;x
bureaucracy_ref;Бюрократия;x
bureaucracy_ref_l;Бюрократия;x
gentry;Джентри;x
gentry_l;Джентри;x
gentry_desc;Дворянство страны имеет больше всего высказываний в государственной бюрократии. Бюрократия чрезвычайно мала или сильно ограничена.;x
hereditary_bureaucracy;Наследственная бюрократия;x
hereditary_bureaucracy_l;Наследственная бюрократия;x
hereditary_bureaucracy_desc;Должности бюрократии в правительстве, официально или нет, передаются по наследству, что резко ограничивает всеобщий доступ к внутренней администрации государства. Обычно в этих местах находятся высшие классы общества, и система страдает от высокого уровня коррупции.;x
professional_civil_servants;Профессиональная государственная служба;x
professional_civil_servants_l;Профессиональная государственная служба;x
professional_civil_servants_desc;Бюрократия формируется из образованных граждан, сформированных в сфере государственного управления. Бюрократия не передается по наследству, и бюрократы выбираются (в основном) на основе принципов меритократии.;x
residency_desc;Эта партия поддерживает политику по ограничению гражданства и политических прав меньшинств и иммигрантов.;x
limited_citizenship_desc;Эта партия поддерживает политику по ограничению гражданства и политических прав людьми той же культурной группы этой нации.;x
full_citizenship_desc;Эта партия поддерживает равенство всех голосов.;x
movement_censored_press;Кампания за большую свободу прессы;x
revolution_n_counter_researched;Революция и контрреволюция исследованы;x
crisis_begin_researched;Кризисное событие спровоцировано;x
medicine_invented;Исследованная медицина;x
germs_invented;Изобретенная микробная теория;x
gaslights_invented;Изобретенные газовые фонари;x
electricity_invented;Исследовано электричество;x
germ_theory;Микробная теория и экспериментальная патология;x
